feature1,feature2,correlation,abs_correlation
person_subjects_harmonic,person_subjects_product,0.9871883144329916,0.9871883144329916
subjects_cosine,person_subjects_product,0.9653289529012515,0.9653289529012515
subjects_cosine,person_subjects_harmonic,0.9598576799950821,0.9598576799950821
title_cosine,person_title_harmonic,0.957917007758103,0.957917007758103
person_cosine,person_levenshtein,0.954056959327476,0.954056959327476
title_cosine,title_provision_harmonic,0.9530761683218016,0.9530761683218016
person_title_harmonic,title_provision_harmonic,0.9346458641945576,0.9346458641945576
title_cosine,title_subjects_harmonic,0.9293768465393901,0.9293768465393901
person_title_harmonic,title_subjects_harmonic,0.9215328958612078,0.9215328958612078
subjects_cosine,provision_subjects_harmonic,0.9137858063661642,0.9137858063661642
person_subjects_harmonic,provision_subjects_harmonic,0.9101675147363905,0.9101675147363905
composite_cosine,person_cosine,0.9082702141941608,0.9082702141941608
provision_cosine,person_provision_harmonic,0.9063215734268126,0.9063215734268126
provision_subjects_harmonic,person_subjects_product,0.9035012681225828,0.9035012681225828
title_subjects_harmonic,title_provision_harmonic,0.9029410579035276,0.9029410579035276
composite_cosine,person_title_harmonic,0.8861906894765822,0.8861906894765822
composite_cosine,person_levenshtein,0.8759849934790837,0.8759849934790837
composite_cosine,person_subjects_harmonic,0.8738728151964419,0.8738728151964419
title_subjects_harmonic,provision_subjects_harmonic,0.8720195462239261,0.8720195462239261
subjects_cosine,title_subjects_harmonic,0.8652536109399149,0.8652536109399149
person_cosine,person_provision_harmonic,0.8595305919160287,0.8595305919160287
composite_cosine,person_provision_harmonic,0.8575161766490346,0.8575161766490346
title_subjects_harmonic,person_subjects_product,0.8554567895342147,0.8554567895342147
person_subjects_harmonic,title_subjects_harmonic,0.8540615476750545,0.8540615476750545
composite_cosine,person_subjects_product,0.8493372543022313,0.8493372543022313
person_levenshtein,person_provision_harmonic,0.8485529482556399,0.8485529482556399
person_provision_harmonic,provision_subjects_harmonic,0.8475050683525859,0.8475050683525859
composite_cosine,title_subjects_harmonic,0.8360688504094057,0.8360688504094057
person_cosine,person_subjects_harmonic,0.8358369359550814,0.8358369359550814
composite_cosine,provision_subjects_harmonic,0.8219433576925659,0.8219433576925659
person_levenshtein,person_subjects_harmonic,0.8176380484911768,0.8176380484911768
title_provision_harmonic,provision_subjects_harmonic,0.8103362015559277,0.8103362015559277
composite_cosine,title_provision_harmonic,0.8068898840180343,0.8068898840180343
person_provision_harmonic,title_provision_harmonic,0.8062720596509241,0.8062720596509241
provision_cosine,provision_subjects_harmonic,0.8043109765443065,0.8043109765443065
person_cosine,person_subjects_product,0.8036718647794144,0.8036718647794144
provision_cosine,title_provision_harmonic,0.7984288535011814,0.7984288535011814
person_levenshtein,person_subjects_product,0.7955630154742144,0.7955630154742144
composite_cosine,title_cosine,0.7910430742373562,0.7910430742373562
person_title_harmonic,person_provision_harmonic,0.7867867487231502,0.7867867487231502
composite_cosine,subjects_cosine,0.7819263786225034,0.7819263786225034
person_provision_harmonic,person_subjects_harmonic,0.7807369629875864,0.7807369629875864
person_title_harmonic,person_subjects_harmonic,0.7786532175775033,0.7786532175775033
person_cosine,person_title_harmonic,0.7743980013542193,0.7743980013542193
person_title_harmonic,person_subjects_product,0.7695215799460244,0.7695215799460244
person_title_harmonic,provision_subjects_harmonic,0.7653308646713615,0.7653308646713615
person_provision_harmonic,person_subjects_product,0.7632834725166456,0.7632834725166456
person_levenshtein,person_title_harmonic,0.7450635426180274,0.7450635426180274
title_cosine,provision_subjects_harmonic,0.7278625079142401,0.7278625079142401
person_levenshtein,provision_subjects_harmonic,0.7118066490754168,0.7118066490754168
person_provision_harmonic,title_subjects_harmonic,0.7106939096090801,0.7106939096090801
subjects_cosine,person_title_harmonic,0.7085916804083288,0.7085916804083288
person_cosine,provision_subjects_harmonic,0.7084780921082118,0.7084780921082118
title_provision_harmonic,person_subjects_product,0.6982211274176442,0.6982211274176442
person_subjects_harmonic,title_provision_harmonic,0.6950861174970733,0.6950861174970733
title_cosine,person_subjects_product,0.6841029672038946,0.6841029672038946
title_cosine,person_subjects_harmonic,0.6788743715073441,0.6788743715073441
person_cosine,subjects_cosine,0.6767869270300924,0.6767869270300924
title_cosine,person_provision_harmonic,0.6747111337277054,0.6747111337277054
composite_cosine,provision_cosine,0.671031942664276,0.671031942664276
subjects_cosine,person_levenshtein,0.669969584733701,0.669969584733701
subjects_cosine,person_provision_harmonic,0.6683041613623871,0.6683041613623871
subjects_cosine,title_provision_harmonic,0.6681692933808592,0.6681692933808592
title_cosine,subjects_cosine,0.6647216966045969,0.6647216966045969
person_cosine,title_subjects_harmonic,0.6629760964562514,0.6629760964562514
provision_cosine,person_title_harmonic,0.6543741930523856,0.6543741930523856
person_levenshtein,title_subjects_harmonic,0.6508455864011279,0.6508455864011279
person_cosine,title_provision_harmonic,0.635402839909343,0.635402839909343
provision_cosine,title_subjects_harmonic,0.6303966578376196,0.6303966578376196
person_levenshtein,title_provision_harmonic,0.629797686281864,0.629797686281864
title_cosine,provision_cosine,0.6215802367292167,0.6215802367292167
provision_cosine,person_levenshtein,0.6135733561835246,0.6135733561835246
provision_cosine,person_subjects_product,0.6008156732339788,0.6008156732339788
provision_cosine,person_subjects_harmonic,0.5988609824431933,0.5988609824431933
person_cosine,title_cosine,0.5985661760093106,0.5985661760093106
person_cosine,provision_cosine,0.591553610468271,0.591553610468271
title_cosine,person_levenshtein,0.5811888118433209,0.5811888118433209
provision_cosine,subjects_cosine,0.551598429710965,0.551598429710965
subjects_cosine,composite_subjects_ratio,-0.2667222270782916,0.2667222270782916
provision_subjects_harmonic,composite_subjects_ratio,-0.2458251064174353,0.2458251064174353
person_subjects_harmonic,composite_subjects_ratio,-0.23627603490169463,0.23627603490169463
person_subjects_product,composite_subjects_ratio,-0.20191411320875,0.20191411320875
title_subjects_harmonic,composite_subjects_ratio,-0.1974259448509495,0.1974259448509495
composite_cosine,composite_subjects_ratio,-0.08766441384189755,0.08766441384189755
title_cosine,composite_subjects_ratio,-0.08258995298089293,0.08258995298089293
person_title_harmonic,composite_subjects_ratio,-0.08252441734549834,0.08252441734549834
title_provision_harmonic,composite_subjects_ratio,-0.07986119688002564,0.07986119688002564
person_levenshtein,composite_subjects_ratio,-0.07833654170865334,0.07833654170865334
person_provision_harmonic,composite_subjects_ratio,-0.07118672271968257,0.07118672271968257
person_cosine,composite_subjects_ratio,-0.06813411740586077,0.06813411740586077
provision_cosine,composite_subjects_ratio,-0.05740255599578615,0.05740255599578615
